    4.635 INFO     Host "aviatrixcontroller" already in group "tag_aws-cloudformation-stack-name-Controller-A"
    4.640 INFO     Host "cvlt-mediaserver" already in group "tag__GX_BACKUP_"
    4.643 INFO     Host "aviatrixcontroller" already in group "tag_Name-AviatrixController"
    4.647 INFO     Host "aviatrix-linux-test" already in group "tag_Name-Aviatrix-Linux-Test"
    4.651 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "tag_Name-aviatrix-N-Virgina-GW-A-172-31-31-153"
    4.655 INFO     Host "cvlt-mediaserver" already in group "tag_Name-Cvlt-mediaserver"
    4.661 INFO     Host "wil-01" added to group "tag_Name-wil-01"
    4.665 INFO     Host "windows" already in group "tag_Name-windows"
    4.671 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "tag_N-Virgina-GW-A-172-31-31-153-gateway"
    4.675 INFO     Host "aviatrixcontroller" already in group "tag_Project-Aviatrix"
    4.679 INFO     Host "windows" already in group "type_c1-xlarge"
    4.683 INFO     Host "cvlt-mediaserver" already in group "type_m3-2xlarge"
    4.689 INFO     Host "wil-01" added to group "type_m3-medium"
    4.694 INFO     Host "aviatrixcontroller" already in group "type_t2-large"
    4.698 INFO     Host "aviatrix-linux-test" already in group "type_t2-micro"
    4.699 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "type_t2-micro"
    4.704 INFO     Host "aviatrixcontroller" already in group "us-east-1"
    4.704 INFO     Host "aviatrix-linux-test" already in group "us-east-1"
    4.704 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1"
    4.704 INFO     Host "cvlt-mediaserver" already in group "us-east-1"
    4.704 INFO     Host "windows" already in group "us-east-1"
    4.707 INFO     Host "wil-01" added to group "us-east-1"
    4.711 INFO     Host "cvlt-mediaserver" already in group "us-east-1a"
    4.711 INFO     Host "windows" already in group "us-east-1a"
    4.715 INFO     Host "aviatrix-linux-test" already in group "us-east-1b"
    4.715 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1b"
    4.720 INFO     Host "aviatrixcontroller" already in group "us-east-1c"
    4.722 INFO     Host "wil-01" added to group "us-east-1c"
    4.726 INFO     Host "aviatrixcontroller" already in group "vpc_id_vpc-0b10e36f"
    4.727 INFO     Host "cvlt-mediaserver" already in group "vpc_id_vpc-0b10e36f"
    4.727 INFO     Host "windows" already in group "vpc_id_vpc-0b10e36f"
    4.729 INFO     Host "wil-01" added to group "vpc_id_vpc-0b10e36f"
    4.732 INFO     Host "aviatrix-linux-test" already in group "vpc_id_vpc-e6c7279d"
    4.733 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "vpc_id_vpc-e6c7279d"
    4.801 INFO     Inventory import completed for group "EC2-Custom" in 3.4s
