    3.625 INFO     Host "54.89.83.56" already in group "ami_b2748ddf"
    3.629 INFO     Host "34.193.109.28" already in group "ec2"
    3.629 INFO     Host "34.224.245.31" already in group "ec2"
    3.630 INFO     Host "34.225.52.141" already in group "ec2"
    3.630 INFO     Host "34.229.210.21" already in group "ec2"
    3.630 INFO     Host "54.89.83.56" already in group "ec2"
    3.630 INFO     Host "54.91.231.196" already in group "ec2"
    3.634 INFO     Host "34.225.52.141" already in group "key_awskey"
    3.638 INFO     Host "34.229.210.21" already in group "key_centos_aws"
    3.642 INFO     Host "54.91.231.196" already in group "key_mediaserver"
    3.646 INFO     Host "34.224.245.31" already in group "key_N_Virgina_GW_A"
    3.651 INFO     Host "34.193.109.28" already in group "key_nvirginia_1"
    3.655 INFO     Host "54.89.83.56" already in group "key_nvirginia_1_hagw"
    3.659 INFO     Host "34.225.52.141" already in group "security_group_Controller_A_AviatrixSG_14BTZI28DGGYH"
    3.664 INFO     Host "54.91.231.196" already in group "security_group_launch_wizard_3"
    3.667 INFO     Host "34.224.245.31" already in group "security_group_N_Virgina_GW_A"
    3.672 INFO     Host "34.193.109.28" already in group "security_group_nvirginia_1"
    3.676 INFO     Host "54.89.83.56" already in group "security_group_nvirginia_1_hagw"
    3.681 INFO     Host "34.229.210.21" already in group "security_group_webserver"
    3.685 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_logical_id_AviatrixController"
    3.689 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba"
    3.695 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_name_Controller_A"
    3.699 INFO     Host "54.91.231.196" already in group "tag__GX_BACKUP_"
    3.703 INFO     Host "34.225.52.141" already in group "tag_Name_AviatrixController"
    3.707 INFO     Host "34.224.245.31" already in group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153"
    3.715 INFO     Host "34.193.109.28" already in group "tag_Name_aviatrix_nvirginia_1_172_31_5_171"
    3.720 INFO     Host "54.89.83.56" already in group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171"
    3.725 INFO     Host "54.91.231.196" already in group "tag_Name_Cvlt_mediaserver"
    3.730 INFO     Host "34.229.210.21" already in group "tag_Name_feb2_18"
    3.735 INFO     Host "34.224.245.31" already in group "tag_N_Virgina_GW_A_172_31_31_153_gateway"
    3.740 INFO     Host "34.193.109.28" already in group "tag_nvirginia_1_172_31_5_171_gateway"
    3.744 INFO     Host "54.89.83.56" already in group "tag_nvirginia_1_hagw_172_31_5_171_gateway"
    3.751 INFO     Host "34.225.52.141" already in group "tag_Project_Aviatrix"
    3.755 INFO     Host "54.91.231.196" already in group "type_m3_2xlarge"
    3.760 INFO     Host "34.229.210.21" already in group "type_m3_medium"
    3.765 INFO     Host "34.225.52.141" already in group "type_t2_large"
    3.770 INFO     Host "34.193.109.28" already in group "type_t2_micro"
    3.770 INFO     Host "34.224.245.31" already in group "type_t2_micro"
    3.770 INFO     Host "54.89.83.56" already in group "type_t2_micro"
    3.775 INFO     Host "34.193.109.28" already in group "us-east-1"
    3.775 INFO     Host "34.224.245.31" already in group "us-east-1"
    3.776 INFO     Host "34.225.52.141" already in group "us-east-1"
    3.776 INFO     Host "34.229.210.21" already in group "us-east-1"
    3.776 INFO     Host "54.89.83.56" already in group "us-east-1"
    3.776 INFO     Host "54.91.231.196" already in group "us-east-1"
    3.781 INFO     Host "34.193.109.28" already in group "us-east-1a"
    3.781 INFO     Host "54.89.83.56" already in group "us-east-1a"
    3.781 INFO     Host "54.91.231.196" already in group "us-east-1a"
    3.785 INFO     Host "34.224.245.31" already in group "us-east-1b"
    3.790 INFO     Host "34.225.52.141" already in group "us-east-1c"
    3.790 INFO     Host "34.229.210.21" already in group "us-east-1c"
    3.796 INFO     Host "34.193.109.28" already in group "vpc_id_vpc_0b10e36f"
    3.796 INFO     Host "34.225.52.141" already in group "vpc_id_vpc_0b10e36f"
    3.796 INFO     Host "34.229.210.21" already in group "vpc_id_vpc_0b10e36f"
    3.796 INFO     Host "54.89.83.56" already in group "vpc_id_vpc_0b10e36f"
    3.796 INFO     Host "54.91.231.196" already in group "vpc_id_vpc_0b10e36f"
    3.801 INFO     Host "34.224.245.31" already in group "vpc_id_vpc_e6c7279d"
    3.849 INFO     Inventory import completed for group "EC2" in 2.5s
