    6.292 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "tag_N-Virgina-GW-A-172-31-31-153-gateway"
    6.296 INFO     Host "aviatrixcontroller" already in group "tag_Project-Aviatrix"
    6.302 INFO     Host "windows" added to group "type_c1-xlarge"
    6.306 INFO     Host "cvlt-mediaserver" already in group "type_m3-2xlarge"
    6.312 INFO     Host "sdx-lin43" added to group "type_m3-medium"
    6.316 INFO     Host "aviatrixcontroller" already in group "type_t2-large"
    6.320 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "type_t2-micro"
    6.324 INFO     Host "aviatrixcontroller" already in group "us-east-1"
    6.324 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1"
    6.324 INFO     Host "cvlt-mediaserver" already in group "us-east-1"
    6.327 INFO     Host "sdx-lin43" added to group "us-east-1"
    6.327 INFO     Host "windows" added to group "us-east-1"
    6.331 INFO     Host "cvlt-mediaserver" already in group "us-east-1a"
    6.333 INFO     Host "windows" added to group "us-east-1a"
    6.337 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1b"
    6.341 INFO     Host "aviatrixcontroller" already in group "us-east-1c"
    6.343 INFO     Host "sdx-lin43" added to group "us-east-1c"
    6.347 INFO     Host "aviatrixcontroller" already in group "vpc_id_vpc-0b10e36f"
    6.347 INFO     Host "cvlt-mediaserver" already in group "vpc_id_vpc-0b10e36f"
    6.350 INFO     Host "sdx-lin43" added to group "vpc_id_vpc-0b10e36f"
    6.350 INFO     Host "windows" added to group "vpc_id_vpc-0b10e36f"
    6.354 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "vpc_id_vpc-e6c7279d"
    6.510 INFO     Inventory import completed for group "EC2-Custom" in 5.1s
