   40.577 INFO     Host "54.89.83.56" added (disabled)
   40.579 INFO     Host "54.91.231.196" added
   40.593 INFO     Group "ap-south-1b" added as child of "ap-south-1"
   40.599 INFO     Group "eu-west-2a" added as child of "eu-west-2"
   40.607 INFO     Group "ami_b2748ddf" added as child of "images"
   40.614 INFO     Group "key_nvirginia_1_hagw" added as child of "keys"
   40.622 INFO     Group "us-east-1" added as child of "regions"
   40.629 INFO     Group "security_group_webserver" added as child of "security_groups"
   40.636 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" added as child of "tag_aws_cloudformation_logical_id"
   40.643 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" added as child of "tag_aws_cloudformation_stack_id"
   40.649 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" added as child of "tag_aws_cloudformation_stack_name"
   40.655 INFO     Group "tag_London_GW_172_31_5_171_gateway" added as child of "tag_London_GW_172_31_5_171"
   40.661 INFO     Group "tag_London_GW_A_172_31_31_153_gateway" added as child of "tag_London_GW_A_172_31_31_153"
   40.668 INFO     Group "tag_London_GW_hagw_172_31_5_171_gateway" added as child of "tag_London_GW_hagw_172_31_5_171"
   40.675 INFO     Group "tag_Mumbai_GW_172_31_5_171_gateway" added as child of "tag_Mumbai_GW_172_31_5_171"
   40.681 INFO     Group "tag_Mumbai_GW_A_172_31_31_153_gateway" added as child of "tag_Mumbai_GW_A_172_31_31_153"
   40.688 INFO     Group "tag_Name_feb2_18" added as child of "tag_Name"
   40.695 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153_gateway" added as child of "tag_N_Virgina_GW_A_172_31_31_153"
   40.702 INFO     Group "tag_nvirginia_1_172_31_5_171_gateway" added as child of "tag_nvirginia_1_172_31_5_171"
   40.708 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171_gateway" added as child of "tag_nvirginia_1_hagw_172_31_5_171"
   40.715 INFO     Group "tag_Project_Aviatrix" added as child of "tag_Project"
   40.722 INFO     Group "tag_Project" added as child of "tags"
   40.730 INFO     Group "type_t2_micro" added as child of "types"
   40.737 INFO     Group "us-east-1c" added as child of "us-east-1"
   40.744 INFO     Group "vpc_id_vpc_e6c7279d" added as child of "vpcs"
   40.751 INFO     Group "us-east-1c" added as child of "zones"
   40.763 INFO     Host "54.91.231.196" added to group "ami_11e84107"
   40.770 INFO     Host "13.126.214.29" added to group "ami_1566297a"
   40.777 INFO     Host "34.225.52.141" added to group "ami_1f28d965"
   40.783 INFO     Host "35.154.142.70" added to group "ami_27057148"
   40.790 INFO     Host "35.177.84.250" added to group "ami_391a055d"
   40.797 INFO     Host "13.127.13.202" added to group "ami_46eea129"
   40.803 INFO     Host "34.224.245.31" added to group "ami_58fc7f22"
   40.810 INFO     Host "34.229.210.21" added to group "ami_6496321e"
   40.816 INFO     Host "35.176.36.6" added to group "ami_b1858fd5"
   40.817 INFO     Host "52.56.209.184" added to group "ami_b1858fd5"
   40.823 INFO     Host "34.193.109.28" added to group "ami_b2748ddf"
   40.823 INFO     Host "54.89.83.56" added to group "ami_b2748ddf"
   40.830 INFO     Host "13.126.214.29" added to group "ap-south-1"
   40.830 INFO     Host "13.127.13.202" added to group "ap-south-1"
   40.830 INFO     Host "35.154.142.70" added to group "ap-south-1"
   40.837 INFO     Host "13.126.214.29" added to group "ap-south-1b"
   40.837 INFO     Host "13.127.13.202" added to group "ap-south-1b"
   40.837 INFO     Host "35.154.142.70" added to group "ap-south-1b"
   40.844 INFO     Host "13.126.214.29" added to group "ec2"
   40.844 INFO     Host "13.127.13.202" added to group "ec2"
   40.844 INFO     Host "34.193.109.28" added to group "ec2"
   40.845 INFO     Host "34.224.245.31" added to group "ec2"
   40.845 INFO     Host "34.225.52.141" added to group "ec2"
   40.845 INFO     Host "34.229.210.21" added to group "ec2"
   40.845 INFO     Host "35.154.142.70" added to group "ec2"
   40.845 INFO     Host "35.176.36.6" added to group "ec2"
   40.845 INFO     Host "35.177.84.250" added to group "ec2"
   40.845 INFO     Host "52.56.209.184" added to group "ec2"
   40.845 INFO     Host "54.89.83.56" added to group "ec2"
   40.845 INFO     Host "54.91.231.196" added to group "ec2"
   40.853 INFO     Host "35.176.36.6" added to group "eu-west-2"
   40.853 INFO     Host "35.177.84.250" added to group "eu-west-2"
   40.853 INFO     Host "52.56.209.184" added to group "eu-west-2"
   40.859 INFO     Host "35.176.36.6" added to group "eu-west-2a"
   40.860 INFO     Host "35.177.84.250" added to group "eu-west-2a"
   40.860 INFO     Host "52.56.209.184" added to group "eu-west-2a"
   40.866 INFO     Host "13.127.13.202" added to group "key_aviatrix123"
   40.873 INFO     Host "34.225.52.141" added to group "key_awskey"
   40.879 INFO     Host "34.229.210.21" added to group "key_centos_aws"
   40.885 INFO     Host "52.56.209.184" added to group "key_London_GW"
   40.892 INFO     Host "35.177.84.250" added to group "key_London_GW_A"
   40.898 INFO     Host "35.176.36.6" added to group "key_London_GW_hagw"
   40.905 INFO     Host "54.91.231.196" added to group "key_mediaserver"
   40.911 INFO     Host "35.154.142.70" added to group "key_Mumbai_GW"
   40.918 INFO     Host "13.126.214.29" added to group "key_Mumbai_GW_A"
   40.924 INFO     Host "34.224.245.31" added to group "key_N_Virgina_GW_A"
   40.931 INFO     Host "34.193.109.28" added to group "key_nvirginia_1"
   40.937 INFO     Host "54.89.83.56" added to group "key_nvirginia_1_hagw"
   40.944 INFO     Host "34.225.52.141" added to group "security_group_Controller_A_AviatrixSG_14BTZI28DGGYH"
   40.950 INFO     Host "13.127.13.202" added to group "security_group_launch_wizard_2"
   40.957 INFO     Host "54.91.231.196" added to group "security_group_launch_wizard_3"
