   14.094 INFO     Host "cvlt-mediaserver" already in group "type_m3-2xlarge"
   14.099 INFO     Host "sdx-wrp-10" already in group "type_m3-medium"
   14.101 INFO     Host "sdx-wrp-11" added to group "type_m3-medium"
   14.106 INFO     Host "aviatrixcontroller" already in group "type_t2-large"
   14.112 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "type_t2-micro"
   14.117 INFO     Host "aviatrixcontroller" already in group "us-east-1"
   14.118 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1"
   14.118 INFO     Host "cvlt-mediaserver" already in group "us-east-1"
   14.118 INFO     Host "sdx-wrp-10" already in group "us-east-1"
   14.120 INFO     Host "sdx-wrp-11" added to group "us-east-1"
   14.125 INFO     Host "cvlt-mediaserver" already in group "us-east-1a"
   14.131 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1b"
   14.135 INFO     Host "aviatrixcontroller" already in group "us-east-1c"
   14.135 INFO     Host "sdx-wrp-10" already in group "us-east-1c"
   14.137 INFO     Host "sdx-wrp-11" added to group "us-east-1c"
   14.142 INFO     Host "aviatrixcontroller" already in group "vpc_id_vpc-0b10e36f"
   14.142 INFO     Host "cvlt-mediaserver" already in group "vpc_id_vpc-0b10e36f"
   14.142 INFO     Host "sdx-wrp-10" already in group "vpc_id_vpc-0b10e36f"
   14.144 INFO     Host "sdx-wrp-11" added to group "vpc_id_vpc-0b10e36f"
   14.148 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "vpc_id_vpc-e6c7279d"
   14.302 INFO     Inventory import completed for group "EC2-Custom" in 12.9s
