   11.756 INFO     Host "aviatrixcontroller" already in group "tag_aws-cloudformation-stack-id-arn-aws-cloudformation-us-east-1-986182225774-stack-Controller-A-98bdc830-cbab-11e7-a47a-500c28afa0ba"
   11.761 INFO     Host "aviatrixcontroller" already in group "tag_aws-cloudformation-stack-name-Controller-A"
   11.767 INFO     Host "cvlt-mediaserver" already in group "tag__GX_BACKUP_"
   11.774 INFO     Host "13feb2018-awsword" added to group "tag_Name-13feb2018-awsword"
   11.780 INFO     Host "aviatrixcontroller" already in group "tag_Name-AviatrixController"
   11.788 INFO     Host "aviatrix-linux-test" added to group "tag_Name-Aviatrix-Linux-Test"
   11.793 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "tag_Name-aviatrix-N-Virgina-GW-A-172-31-31-153"
   11.798 INFO     Host "cvlt-mediaserver" already in group "tag_Name-Cvlt-mediaserver"
   11.804 INFO     Host "windows" already in group "tag_Name-windows"
   11.807 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "tag_N-Virgina-GW-A-172-31-31-153-gateway"
   11.811 INFO     Host "aviatrixcontroller" already in group "tag_Project-Aviatrix"
   11.816 INFO     Host "windows" already in group "type_c1-xlarge"
   11.819 INFO     Host "cvlt-mediaserver" already in group "type_m3-2xlarge"
   11.827 INFO     Host "13feb2018-awsword" added to group "type_m3-medium"
   11.831 INFO     Host "aviatrixcontroller" already in group "type_t2-large"
   11.835 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "type_t2-micro"
   11.837 INFO     Host "aviatrix-linux-test" added to group "type_t2-micro"
   11.841 INFO     Host "aviatrixcontroller" already in group "us-east-1"
   11.841 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1"
   11.841 INFO     Host "cvlt-mediaserver" already in group "us-east-1"
   11.841 INFO     Host "windows" already in group "us-east-1"
   11.844 INFO     Host "13feb2018-awsword" added to group "us-east-1"
   11.844 INFO     Host "aviatrix-linux-test" added to group "us-east-1"
   11.849 INFO     Host "cvlt-mediaserver" already in group "us-east-1a"
   11.849 INFO     Host "windows" already in group "us-east-1a"
   11.853 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1b"
   11.857 INFO     Host "aviatrix-linux-test" added to group "us-east-1b"
   11.861 INFO     Host "aviatrixcontroller" already in group "us-east-1c"
   11.863 INFO     Host "13feb2018-awsword" added to group "us-east-1c"
   11.867 INFO     Host "aviatrixcontroller" already in group "vpc_id_vpc-0b10e36f"
   11.867 INFO     Host "cvlt-mediaserver" already in group "vpc_id_vpc-0b10e36f"
   11.867 INFO     Host "windows" already in group "vpc_id_vpc-0b10e36f"
   11.869 INFO     Host "13feb2018-awsword" added to group "vpc_id_vpc-0b10e36f"
   11.873 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "vpc_id_vpc-e6c7279d"
   11.875 INFO     Host "aviatrix-linux-test" added to group "vpc_id_vpc-e6c7279d"
   12.048 INFO     Inventory import completed for group "EC2-Custom" in 10.7s
