   21.917 INFO     Host "34.193.109.28" already in group "ec2"
   21.917 INFO     Host "34.224.245.31" already in group "ec2"
   21.917 INFO     Host "34.225.52.141" already in group "ec2"
   21.917 INFO     Host "54.89.83.56" already in group "ec2"
   21.917 INFO     Host "54.91.231.196" already in group "ec2"
   21.920 INFO     Host "54.83.140.39" added to group "ec2"
   21.924 INFO     Host "34.225.52.141" already in group "key_awskey"
   21.932 INFO     Host "54.83.140.39" added to group "key_centos_aws"
   21.936 INFO     Host "54.91.231.196" already in group "key_mediaserver"
   21.941 INFO     Host "34.224.245.31" already in group "key_N_Virgina_GW_A"
   21.946 INFO     Host "34.193.109.28" already in group "key_nvirginia_1"
   21.953 INFO     Host "54.89.83.56" already in group "key_nvirginia_1_hagw"
   21.957 INFO     Host "34.225.52.141" already in group "security_group_Controller_A_AviatrixSG_14BTZI28DGGYH"
   21.962 INFO     Host "54.91.231.196" already in group "security_group_launch_wizard_3"
   21.967 INFO     Host "34.224.245.31" already in group "security_group_N_Virgina_GW_A"
   21.972 INFO     Host "34.193.109.28" already in group "security_group_nvirginia_1"
   21.977 INFO     Host "54.89.83.56" already in group "security_group_nvirginia_1_hagw"
   21.985 INFO     Host "54.83.140.39" added to group "security_group_webserver"
   21.990 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_logical_id_AviatrixController"
   21.995 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba"
   22.000 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_name_Controller_A"
   22.004 INFO     Host "54.91.231.196" already in group "tag__GX_BACKUP_"
   22.009 INFO     Host "34.225.52.141" already in group "tag_Name_AviatrixController"
   22.014 INFO     Host "34.224.245.31" already in group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153"
   22.020 INFO     Host "34.193.109.28" already in group "tag_Name_aviatrix_nvirginia_1_172_31_5_171"
