   10.485 INFO     Host "aviatrixcontroller" already in group "us-east-1"
   10.485 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1"
   10.485 INFO     Host "cvlt-mediaserver" already in group "us-east-1"
   10.485 INFO     Host "sdx-wrp-10" already in group "us-east-1"
   10.489 INFO     Host "cvlt-mediaserver" already in group "us-east-1a"
   10.493 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1b"
   10.497 INFO     Host "aviatrixcontroller" already in group "us-east-1c"
   10.497 INFO     Host "sdx-wrp-10" already in group "us-east-1c"
   10.501 INFO     Host "aviatrixcontroller" already in group "vpc_id_vpc-0b10e36f"
   10.501 INFO     Host "cvlt-mediaserver" already in group "vpc_id_vpc-0b10e36f"
   10.501 INFO     Host "sdx-wrp-10" already in group "vpc_id_vpc-0b10e36f"
   10.505 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "vpc_id_vpc-e6c7279d"
   10.608 INFO     Inventory import completed for group "EC2-Custom" in 9.3s
