    5.362 INFO     Host "cvlt-mediaserver" already in group "tag_Name-Cvlt-mediaserver"
    5.370 INFO     Host "falck02" added to group "tag_Name-falck02"
    5.375 INFO     Host "sdx-lin43" already in group "tag_Name-sdx-lin43"
    5.381 INFO     Host "windows" already in group "tag_Name-windows"
    5.385 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "tag_N-Virgina-GW-A-172-31-31-153-gateway"
    5.390 INFO     Host "aviatrixcontroller" already in group "tag_Project-Aviatrix"
    5.394 INFO     Host "windows" already in group "type_c1-xlarge"
    5.399 INFO     Host "cvlt-mediaserver" already in group "type_m3-2xlarge"
    5.405 INFO     Host "sdx-lin43" already in group "type_m3-medium"
    5.408 INFO     Host "falck02" added to group "type_m3-medium"
    5.412 INFO     Host "aviatrixcontroller" already in group "type_t2-large"
    5.418 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "type_t2-micro"
    5.423 INFO     Host "aviatrixcontroller" already in group "us-east-1"
    5.423 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1"
    5.424 INFO     Host "cvlt-mediaserver" already in group "us-east-1"
    5.424 INFO     Host "sdx-lin43" already in group "us-east-1"
    5.424 INFO     Host "windows" already in group "us-east-1"
    5.427 INFO     Host "falck02" added to group "us-east-1"
    5.432 INFO     Host "cvlt-mediaserver" already in group "us-east-1a"
    5.432 INFO     Host "windows" already in group "us-east-1a"
    5.436 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "us-east-1b"
    5.441 INFO     Host "aviatrixcontroller" already in group "us-east-1c"
    5.441 INFO     Host "sdx-lin43" already in group "us-east-1c"
    5.443 INFO     Host "falck02" added to group "us-east-1c"
    5.448 INFO     Host "aviatrixcontroller" already in group "vpc_id_vpc-0b10e36f"
    5.448 INFO     Host "cvlt-mediaserver" already in group "vpc_id_vpc-0b10e36f"
    5.448 INFO     Host "sdx-lin43" already in group "vpc_id_vpc-0b10e36f"
    5.448 INFO     Host "windows" already in group "vpc_id_vpc-0b10e36f"
    5.450 INFO     Host "falck02" added to group "vpc_id_vpc-0b10e36f"
    5.455 INFO     Host "aviatrix-n-virgina-gw-a-172-31-31-153" already in group "vpc_id_vpc-e6c7279d"
    5.598 INFO     Inventory import completed for group "EC2-Custom" in 4.2s
